publish_date,headline_text,,,,,
20030220,oil prices hit new high,,,,,
20030220,oldfield to front court over one nation pre,,,,,
20030220,one nation pre selection hearing continues in nsw,,,,,
20030220,packer hands in licence as pistol investigation,,,,,
20030220,pakistani air force chief killed in air crash,,,,,
20030220,palaszczuk wont make disaster funds promise,,,,,
20030220,parks move to protect high conservation areas,,,,,
20030220,peace group denies members harassing soldiers,,,,,
20030220,people trapped after m5 pile up,,,,,
20030220,pilot makes emergency landing at adelaide airport,,,,,
20030220,players continue zimbabwe protest,,,,,
20030220,pm criticism of protesters disgraceful crean,,,,,
20030220,pm defends criticism of anti war protesters,,,,,
20030220,police continue probe into human remains find,,,,,
20030220,police find second cannabis crop,,,,,
20030220,police hope to gain an edge on weapons users,,,,,
20030220,police locate missing family of 6 after house,,,,,
20030220,police make arrests after drug raids,,,,,
20030220,police seek help over pay tv piracy,,,,,
20030220,police tax office to fight chop chop trade,,,,,
20030220,police wont rule out link between drug plantations,,,,,
20030220,politicians breeding publics anti troop sentiment,,,,,
20030220,pollock denies split in proteas camp,,,,,
20030220,population drift forces new federal boundaries,,,,,
20030220,powell to visit asia in bid to ease nth korean,,,,,
20030220,predictions of good wheatbelt rain,,,,,
20030220,probe launched into fatal police pursuit,,,,,
20030220,protesters condemn howard criticism of anti war,,,,,
20030220,protocols were followed in immigration raids,,,,,
20030220,public warned about snake handling dangers,,,,,
20030220,pumping continues at richmond after flooding,,,,,
20030220,qantas draws flak over redundancy talk,,,,,
20030220,qantas flags job cuts despite record profit,,,,,
20030220,qantas records 353 million profit,,,,,
20030220,qfvg upset over retail prices,,,,,
20030220,qld govt says new hospital on schedule,,,,,
20030220,qld nats close to deal with libs springborg,,,,,
20030220,racing club sneak a point in peru,,,,,
20030220,rain boosts farmers confidence,,,,,
20030220,rain may force aussie bowling change buchanan,,,,,
20030220,ram raid targets newsagency,,,,,
20030220,road funds to tackle flooding,,,,,
20030220,ronaldo puts real back in the race,,,,,
20030220,ruiz hat trick as guatemala rout nicaragua,,,,,
20030220,saff to gauge feelings on planned crown lands bill,,,,,
20030220,safin escude on rotterdam comeback trail,,,,,
20030220,sa govt defends moves to force fine defaulters to,,,,,
20030220,sa govt to appeal against fishing decision,,,,,
20030220,schmeichel set to miss arsenal trip,,,,,
20030220,school to reopen after paint fume scare,,,,,
20030220,scotland refuse to panic,,,,,
20030220,seaman injury crisis for arsenal,,,,,
20030220,self cloning crayfish threatens native species,,,,,
20030220,socceroos creep up world rankings,,,,,
20030220,solar cars to turn heads,,,,,
20030220,sporting task force planning begins,,,,,
20030220,start of americas cup race four delayed,,,,,
20030220,stone to stay on as federal liberal president,,,,,
20030220,sun needed for good downpour,,,,,
20030220,taipans win keeps play off dreams alive,,,,,
20030220,tas police to question injured man about house fire,,,,,
20030220,taxi driver to face sex trial,,,,,
20030220,tension increases after fighter strays into sth,,,,,
20030220,terror weapons pose minimal risk british expert,,,,,
20030220,thousands to visit dairy field days,,,,,
20030220,three israelis injured as hamas made rockets hit,,,,,
20030220,tnz shuffles pack as defeat looms,,,,,
20030220,tomasson gives milan narrow win over lokomotiv,,,,,
20030220,tough times ahead for water allocations,,,,,
20030220,tourism industry must be protected from iraq,,,,,
20030220,trial hears woman denied killing fiance,,,,,
20030220,triathletes back bris to gold coast bikeway,,,,,
20030220,truck roll destroys furniture,,,,,
20030220,turkey stands firm against us aid offer,,,,,
20030220,turkey still undecided over us aid for gulf attack,,,,,
20030220,union disunity over mccains enterprise agreement,,,,,
20030220,un security council ends two day open debate on,,,,,
20030220,us invited to talks with burmese military junta,,,,,
20030220,us launches homeland security ready campaign,,,,,
20030220,us markets remain jittery in shadow of war,,,,,
20030220,us tells turkey time running out for aid offer,,,,,
20030220,us to take no wto action against europe over ge,,,,,
20030220,uzbek journalist sentenced to seven years in jail,,,,,
20030220,verstappen pleased with new minardis track debut,,,,,
20030220,vic govt speaks out over rice mill closure claims,,,,,
20030220,wa fire crews battle bushfire at marangaroo,,,,,
20030220,war talk takes toll on all ords,,,,,
20030220,war with iraq could cost 120bn economists,,,,,
20030220,watkins jeered at education forum,,,,,
20030220,wa wine destined for us,,,,,
20030220,western power reveals power supply bid details,,,,,
20030220,wide bay economy growing stronger,,,,,
20030220,wine exporters urged to push ahead,,,,,
20030220,winemakers move considered loss for tas industry,,,,,
20030220,woman faces court over child prostitution,,,,,
20030220,yacht loses mast in trawler incident,,,,,
20030220,zimbabwe bars british reporter from world cup,,,,,
20030221,accc too timid in petrol price investigations,,,,,
20030221,action wanted to lower indigenous unemployment rate,,,,,
20030221,aec ruling to scrap federal seat hurts us the most,,,,,
20030221,aek shut out malaga to claim goalless draw,,,,,
20030221,allan guilty on cash charges,,,,,
20030221,allan unlikely to appeal fine,,,,,
20030221,ama airs hospital reform concerns,,,,,
20030221,ama delivers health concerns list to politicians,,,,,
20030221,andersson atwal miss record in malaysia,,,,,
20030221,antarctic rocks could aid global warming,,,,,
20030221,anz confident of growth in tough environment,,,,,
20030221,anz to pay more than 260 million to tax office,,,,,
20030221,arab states press for war crimes condemnation of,,,,,
20030221,at least 26 dead in us club fire,,,,,
20030221,at least 42 injured in rhode island nightclub fire,,,,,
20030221,aussie dollar continues its climb,,,,,
20030221,aust could be in top four al qaeda target list,,,,,
20030221,australia to withdraw bougainville peace monitors,,,,,
20030221,aust share market ends week in negative territory,,,,,
20030221,bartlett vows to block govt plans for sa nuclear,,,,,
20030221,beattie unaware of tree clearing funds hold up,,,,,
20030221,bedi labels murali a chucker,,,,,
20030221,belgian police recover stolen works,,,,,
20030221,bhp port kembla production restarts,,,,,
20030221,big guns back to business in the premier league,,,,,
20030221,blake paradorn upset in memphis,,,,,
20030221,bracks backs ruling on deans 50000 a year pension,,,,,
20030221,british govt clashes with high court over asylum,,,,,
20030221,british pop awards will be platform for iraq,,,,,
20030221,briton stabbed to death in bangkok,,,,,
20030221,brothel owner acquitted of hiring underage,,,,,
20030221,brothel owner fronts court after allegedly hiring,,,,,
20030221,burmas suu kyi sentenced to one day jail fined,,,,,
20030221,bushfires burn over 1m hectares,,,,,
20030221,cairns canberra grab nbl wins,,,,,
20030221,cairns injured in kiwi nightclub brawl,,,,,
20030221,cairns injured in nightclub brawl report,,,,,
20030221,call to scrap national plantation target,,,,,
20030221,candleholders recalled as fire risk,,,,,
20030221,carr off the hook over brogden debate pm,,,,,
20030221,celts sink 10 man stuttgart,,,,,
20030221,central qld park area expanded,,,,,
20030221,centrelink to offer drought counselling,,,,,
20030221,china to wage chemical war on chewing gum blobs,,,,,
20030221,chirac mugabe talk on sidelines of africa summit,,,,,
20030221,christmas island residents not aware of detention,,,,,
20030221,claim low oil inventory causing high petrol prices,,,,,
20030221,claims live sheep cattle exports threatening tas,,,,,
20030221,claims more rain will boost stock prices,,,,,
20030221,class action may cost esso 50m,,,,,
20030221,clinton cancels trip to india,,,,,
20030221,coalition promises to scrap anglers fee,,,,,
20030221,committal continues into goulburn jail riot,,,,,
20030221,costello unhappy he wasnt consulted by stone,,,,,
20030221,council approves poultry farm,,,,,
20030221,council awaits more rain,,,,,
20030221,council considers indigenous caravan park plan,,,,,
20030221,council elections planned for may,,,,,
20030221,council rejects combined field days stand idea,,,,,
20030221,council to change tree protection by law,,,,,
20030221,council to fund groundwater study,,,,,
20030221,counsel begin summing up at warnes doping hearing,,,,,
20030221,criminal charges pending in s korea subway probe,,,,,
20030221,crocs prove too good for bullets,,,,,
20030221,date set for bushfires coronial inquiry,,,,,
20030221,dean to receive lifetime parliamentary pension,,,,,
20030221,death spells end to record marriage,,,,,
20030221,demons thump tigers,,,,,
20030221,deportivo cali outclass sulky river plate,,,,,
20030221,deschamps chases old flame marseille,,,,,
20030221,disaster funds to allow shire to complete other,,,,,
20030221,dortmund ready to hound bayern,,,,,
20030221,downpour closes tourist roads,,,,,
20030221,drought impacting on roadworks,,,,,
20030221,drought predicted to have long lasting impact,,,,,
20030221,education dept considers rural concerns,,,,,
20030221,family court rejects bid to invalidate transsexual,,,,,
20030221,farmers celebrate good rain,,,,,
20030221,fears patterson hiding bad news tas health minister,,,,,
20030221,federal funds sought for wave studies,,,,,
20030221,fed govt considering appeal over transsexual,,,,,
20030221,firefighters win battle to contain beechford blaze,,,,,
20030221,fishers to meet minister over court ruling,,,,,
20030221,fishing group seeks action over pilchard imports,,,,,
20030221,flight attendants action likely to affect,,,,,
20030221,footy great gets behind indigenous rights campaign,,,,,
20030221,former socceroos coach thomson dies,,,,,
20030221,funeral held for cricket legend,,,,,
20030221,funk leads elkington in california,,,,,
20030221,gebrselassie plans world record comeback,,,,,
20030221,g g to witness church bell hand over,,,,,
20030221,gold coast gets us tourism assurances,,,,,
20030221,group concerned rain brings wrong impression,,,,,
20030221,group gets clearer understanding of farmers gm,,,,,
20030221,guga reaches buenos aires quarters,,,,,
20030221,health service speaks out over patient death,,,,,
20030221,hoddle st murderer granted right to seek judicial,,,,,
20030221,horse ride to re enact mt isa mine find,,,,,
20030221,howard repeats zimbabwe boycott call,,,,,
20030221,hundreds of triathletes to head for coffs,,,,,
20030221,hungarian thief makes amends by posts,,,,,
20030221,hyypia the hero as liverpool bounce back,,,,,
20030221,iaea to visit iran to assess nuclear program,,,,,
20030221,indian jailed for smuggling pakistani in suitcase,,,,,
20030221,indian players to retrace gandhi journey,,,,,
20030221,indonesia says australia travel warnings,,,,,
20030221,industrial action to impact on brisbane schools,,,,,
20030221,investigation underway into m5 pile up,,,,,
20030221,investigator probes sa hospital staff complaints,,,,,
20030221,jackson hits back at explosive british tv interview,,,,,
20030221,japanese tourist drowns in gold coast surf,,,,,
20030221,joblink issues statement over sacking,,,,,
20030221,keegan aiming to bring arsenal down to earth,,,,,
20030221,kenya awarded points for kiwi call off,,,,,
20030221,kylie minogues posterior is hit of the brits,,,,,
20030221,land council dismissed administrator appointed,,,,,
20030221,langer named one day player of year,,,,,
20030221,liverpool win but lazio held by krakow,,,,,
20030221,llewellyn not impressed by patterson so show,,,,,
20030221,longreach water restrictions to remain,,,,,
20030221,loose cannon afridi set for pakistan against,,,,,
20030221,lovenkrands dreaming of hampden return,,,,,
20030221,low water sparks boat ban for lake albert,,,,,
20030221,male dna found on body of murdered schoolgirl,,,,,
20030221,man accused of selling bali bomb chemicals goes on,,,,,
20030221,man appears in court charged with stuttle murder,,,,,
20030221,man charged with stuttle murder,,,,,
20030221,man fails to overturn conviction over 1600yo bell,,,,,
20030221,man in hospital after receiving severe electric,,,,,
20030221,man in hospital after stabbing,,,,,
20030221,man jailed for fatally stabbing ex de facto,,,,,
20030221,man jailed for life over axe murder,,,,,
20030221,man to be re questioned over stuttle murder,,,,,
20030221,man to face court over fatal hit and run,,,,,
20030221,man u agreed deal with eriksson ferguson,,,,,
20030221,man who threatened melbourne water supply bailed,,,,,
20030221,map highlights potential river salinity problems,,,,,
20030221,mayor angry over mural vandalism,,,,,
20030221,mining giant calls for funding boost for native,,,,,
20030221,montgomery enters us indoor nationals,,,,,
20030221,more rain may delay tougher water restrictions,,,,,
20030221,more us troops to help hunt abu sayyaf rebels,,,,,
20030221,mp wants tank battalion rumours investigated,,,,,
20030221,mp welcomes police station announcement,,,,,
20030221,nardell mine closes as receiver appointed,,,,,
20030221,nauru appeals for help to keep nations airline,,,,,
20030221,new battle of britain looming in uefa cup,,,,,
20030221,newcastle city notch wins stallions draw with south,,,,,
20030221,new commercial mud crabbing restrictions planned,,,,,
20030221,new disability respite service,,,,,
20030221,n korea ducks nuclear talk at nam summit,,,,,
20030221,n korea warns it wont beg for peace,,,,,
20030221,no cost blowouts forecast for water treatment plan,,,,,
20030221,nsw coroner clears docs over death of toddler,,,,,
20030221,nsw graziers record heavy rainfall,,,,,
20030221,nsw opps drug free prison plan not new amery,,,,,
20030221,nursing home worker suspended,,,,,
20030221,olonga sacked by his club,,,,,
20030221,one million tickets sold for rugby world cup,,,,,
20030221,otago open super 12 with a win,,,,,
20030221,owners hesitant over northerlys overseas jaunt,,,,,
20030221,pair face court over machete attack,,,,,
20030221,palestinian killed at gaza strip crossing point,,,,,
20030221,patterson irresponsible with no show edmond,,,,,
20030221,patterson no show childish wa minister,,,,,
20030221,patterson says health meeting a waste of time,,,,,
20030221,petrol prices on the rise,,,,,
20030221,petrol will hit 120 if war breaks out ssa,,,,,
20030221,plan may include puckapunyal roo cull,,,,,
20030221,planning for intersection revamp begins,,,,,
20030221,pm accuses european countries of encouraging saddam,,,,,
20030221,pm defends protest comments,,,,,
20030221,pm has no choice but to stay on through iraq,,,,,
20030221,pm praises costello over leadership patience,,,,,
20030221,png governor general urges election unity,,,,,
20030221,police charge man over stabbing,,,,,
20030221,police continue investigating cannabis crops,,,,,
20030221,police stations face uncertainty,,,,,
20030221,powell calls on un to uphold responsibilities over,,,,,
20030221,push likely to seek more aged care workers,,,,,
20030221,push to extend fraser is world heritage listing,,,,,
20030221,qantas plane makes emergency landing,,,,,
20030221,qantas says it has no info as prime terrorist,,,,,
20030221,qantas urged to update security in shadow of,,,,,
20030221,qld govt rejects land acquisition claims,,,,,
20030221,racv not surprised by petrol rationing talk,,,,,
20030221,rail firm to assess workers needs,,,,,
20030221,rain brings stock losses,,,,,
20030221,rain causes chaos on melbourne roads,,,,,
20030221,rain expected to continue across act,,,,,
20030221,rainfall likely to clear on weekend,,,,,
20030221,rain in nsw a welcome relief but drought not over,,,,,
20030221,rain not enough to be drought breaking,,,,,
20030221,rain offers water supply boost,,,,,
20030221,rejuvenated tyson cured by cash injection,,,,,
20030221,residents get fire assurances,,,,,
20030221,retail sector airs trading hours review concerns,,,,,
20030221,romario jeered teams brawl as fluminense held,,,,,
20030221,round the world in no forget it,,,,,
20030221,ruddock commends australias traveller controls,,,,,
20030221,salinity experts map water catchments,,,,,
20030221,sa nt to lose seats in federal parliament,,,,,
20030221,sas soldier charged with misconduct while in e,,,,,
20030221,schumacher seeks more speed from less noise,,,,,
20030221,seaman set for ajax match,,,,,
20030221,search for better life pays off,,,,,
20030221,second us nightclub fire kills 10,,,,,
20030221,senators offer input into coast issues,,,,,
20030221,several dead in fire at rhode island nightclub,,,,,
20030221,shire says planning policy not compromised,,,,,
20030221,slapping paedophile to have arm amputated,,,,,
20030221,state territory health ministers arrive for meeting,,,,,
20030221,stolen wage report looks to improve indigenous,,,,,
20030221,strike expected to mean milk shortages,,,,,
20030221,strike may disrupt nsw milk supply,,,,,
20030221,study considers alternative crops for sugar regions,,,,,
20030221,study to probe snowy motorcycle crashes,,,,,
20030221,teachers shortage set to get worse report,,,,,
20030221,team mates send best wishes to warne,,,,,
20030221,telstra chief embarrassed with 1 billion writedown,,,,,
20030221,telstra punished after massive hong kong write down,,,,,
20030221,telstra still hurting from hk joint venture,,,,,
20030221,thieves target esperance cars,,,,,
20030221,timor sea treaty will be ratfied shortly martin,,,,,
20030221,troubled torino praying for a miracle,,,,,
20030221,tuckey laments gungahlin drive planning problems,,,,,
20030221,turkey delays vote on us troops,,,,,
20030221,turkey digs heels in us lobbies for support for,,,,,
20030221,turkey forces us to weigh up strategies,,,,,
20030221,union condemns qantass contract labour plan,,,,,
20030221,us asks indonesia to improve human rights record,,,,,
20030221,us boost troop numbers in philippines,,,,,
20030221,us chiropractor to address gold coast gathering,,,,,
20030221,us intelligence analyst found guilty of spying,,,,,
20030221,usq researchers prepare for move,,,,,
20030221,valencia sense victory in benitez v benitez,,,,,
20030221,vic govt gets farmers drought update,,,,,
20030221,victorian farmers hope rain will break drought,,,,,
20030221,victoria welcomes rain relief,,,,,
20030221,vinnicombe rejects mps freeway claims,,,,,
20030221,waratahs go down in super 12 opener,,,,,
20030221,war impact on exercise unknown,,,,,
20030221,warne decision to be made saturday,,,,,
20030221,warne dope hearing underway,,,,,
20030221,williams and mclaren plan to take fia to court,,,,,
20030221,wine and avocados drive mutton and wool off nz,,,,,
20030221,wisla hold lazio in six goal thriller,,,,,
20030221,woodgate told to stay away from elland road,,,,,
20030221,workers return to work on burrup,,,,,
20030221,youth group unhappy with appeal for carers,,,,,
20030222,86 confirmed dead after us nightclub fire,,,,,
20030222,act tourist attractions honoured at awards night,,,,,
20030222,adelaide break port hearts,,,,,
20030222,al qaeda members jailed for us uk terrorist plots,,,,,
20030222,arafats number two outlines proposed ceasefire,,,,,
20030222,athens risks turning into games disaster ioc,,,,,
20030222,australia urged to abandon zimbabwe world cu,,,,,